Data as of,Start week,End Week,HHS Region,State,Place of Death,Age group,All Deaths involving COVID-19 (U07.1),Deaths from All Causes,"Deaths involving Pneumonia, with or without COVID-19, excluding Influenza deaths
(J12.0–J18.9)","Deaths involving COVID-19 and Pneumonia, excluding Influenza (U07.1 and J12.0–J18.9)"
07/23/2020,02/01/2020,07/18/2020,4,Tennessee,Decedent's home,85 years and over,,2521,53,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Hospice facility,15-44 years,,149,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Hospice facility,45-64 years,,978,48,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Hospice facility,65-74 years,,1144,109,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Hospice facility,75-84 years,15,1351,130,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Hospice facility,85 years and over,25,1297,142,11
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, dead on arrival",15-44 years,,31,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, dead on arrival",45-64 years,,28,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, dead on arrival",65-74 years,,20,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, dead on arrival",75-84 years,,10,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, dead on arrival",85 years and over,,12,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, inpatient",0-14 years,,793,14,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, inpatient",15-44 years,151,1980,271,83
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, inpatient",45-64 years,759,7720,1330,371
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, inpatient",65-74 years,726,7104,1444,405
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, inpatient",75-84 years,740,6956,1567,438
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, inpatient",85 years and over,518,4788,1154,301
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, outpatient or emergency room",0-14 years,,209,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, outpatient or emergency room",15-44 years,16,1055,15,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, outpatient or emergency room",45-64 years,71,1980,69,12
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, outpatient or emergency room",65-74 years,36,1445,59,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, outpatient or emergency room",75-84 years,26,1191,62,
07/23/2020,02/01/2020,07/18/2020,6,Texas,"Healthcare setting, outpatient or emergency room",85 years and over,19,869,56,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Nursing home/longterm care facility,15-44 years,,60,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Nursing home/longterm care facility,45-64 years,18,996,40,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Nursing home/longterm care facility,65-74 years,78,2100,114,24
07/23/2020,02/01/2020,07/18/2020,6,Texas,Nursing home/longterm care facility,75-84 years,142,4393,193,36
07/23/2020,02/01/2020,07/18/2020,6,Texas,Nursing home/longterm care facility,85 years and over,245,8277,373,52
07/23/2020,02/01/2020,07/18/2020,6,Texas,Other,0-14 years,,74,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Other,15-44 years,,1785,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Other,45-64 years,15,1523,22,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Other,65-74 years,11,906,24,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Other,75-84 years,18,1145,34,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Other,85 years and over,31,1822,67,10
07/23/2020,02/01/2020,07/18/2020,6,Texas,Place of death unknown,0-14 years,,34,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Place of death unknown,15-44 years,10,248,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Place of death unknown,45-64 years,51,783,49,13
07/23/2020,02/01/2020,07/18/2020,6,Texas,Place of death unknown,65-74 years,55,714,75,27
07/23/2020,02/01/2020,07/18/2020,6,Texas,Place of death unknown,75-84 years,35,823,50,17
07/23/2020,02/01/2020,07/18/2020,6,Texas,Place of death unknown,85 years and over,32,888,57,14
07/23/2020,02/01/2020,07/18/2020,6,Texas,Decedent's home,0-14 years,,147,,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Decedent's home,15-44 years,30,2069,21,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Decedent's home,45-64 years,100,7293,144,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Decedent's home,65-74 years,67,7391,154,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Decedent's home,75-84 years,58,8484,176,
07/23/2020,02/01/2020,07/18/2020,6,Texas,Decedent's home,85 years and over,51,8303,216,12
07/23/2020,02/01/2020,07/18/2020,8,Utah,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Hospice facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Hospice facility,45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Hospice facility,65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Hospice facility,75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Hospice facility,85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, inpatient",0-14 years,,103,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, inpatient",15-44 years,,164,18,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, inpatient",45-64 years,41,427,63,20
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, inpatient",65-74 years,34,403,75,23
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, inpatient",75-84 years,31,421,83,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, inpatient",85 years and over,11,267,57,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, outpatient or emergency room",0-14 years,,15,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, outpatient or emergency room",15-44 years,,70,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, outpatient or emergency room",45-64 years,,93,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, outpatient or emergency room",65-74 years,,58,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, outpatient or emergency room",75-84 years,,62,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,"Healthcare setting, outpatient or emergency room",85 years and over,,42,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Nursing home/longterm care facility,15-44 years,,10,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Nursing home/longterm care facility,45-64 years,,129,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Nursing home/longterm care facility,65-74 years,10,273,15,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Nursing home/longterm care facility,75-84 years,,610,23,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Nursing home/longterm care facility,85 years and over,29,1131,39,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Other,0-14 years,,11,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Other,15-44 years,,180,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Other,45-64 years,,186,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Other,65-74 years,,86,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Other,75-84 years,,95,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Other,85 years and over,,108,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Place of death unknown,0-14 years,,11,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Place of death unknown,15-44 years,,65,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Place of death unknown,45-64 years,,100,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Place of death unknown,65-74 years,,145,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Place of death unknown,75-84 years,,159,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Place of death unknown,85 years and over,,200,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Decedent's home,0-14 years,,18,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Decedent's home,15-44 years,,305,,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Decedent's home,45-64 years,,675,12,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Decedent's home,65-74 years,,769,18,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Decedent's home,75-84 years,,1027,24,
07/23/2020,02/01/2020,07/18/2020,8,Utah,Decedent's home,85 years and over,,1108,42,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Hospice facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Hospice facility,45-64 years,,20,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Hospice facility,65-74 years,,35,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Hospice facility,75-84 years,,46,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Hospice facility,85 years and over,,51,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, inpatient",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, inpatient",15-44 years,,21,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, inpatient",45-64 years,,110,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, inpatient",65-74 years,,125,19,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, inpatient",75-84 years,10,169,29,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, inpatient",85 years and over,,156,29,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, outpatient or emergency room",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, outpatient or emergency room",15-44 years,,15,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, outpatient or emergency room",45-64 years,,27,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, outpatient or emergency room",65-74 years,,26,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, outpatient or emergency room",75-84 years,,22,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,"Healthcare setting, outpatient or emergency room",85 years and over,,27,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Nursing home/longterm care facility,45-64 years,,22,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Nursing home/longterm care facility,65-74 years,,90,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Nursing home/longterm care facility,75-84 years,13,188,10,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Nursing home/longterm care facility,85 years and over,11,417,23,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Other,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Other,15-44 years,,38,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Other,45-64 years,,48,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Other,65-74 years,,26,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Other,75-84 years,,16,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Other,85 years and over,,35,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Place of death unknown,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Place of death unknown,45-64 years,,15,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Place of death unknown,65-74 years,,17,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Place of death unknown,75-84 years,,10,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Place of death unknown,85 years and over,,28,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Decedent's home,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Decedent's home,15-44 years,,55,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Decedent's home,45-64 years,,210,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Decedent's home,65-74 years,,216,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Decedent's home,75-84 years,,257,,
07/23/2020,02/01/2020,07/18/2020,1,Vermont,Decedent's home,85 years and over,,268,11,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Hospice facility,15-44 years,,21,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Hospice facility,45-64 years,,183,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Hospice facility,65-74 years,,218,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Hospice facility,75-84 years,11,290,15,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Hospice facility,85 years and over,26,299,26,14
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, dead on arrival",15-44 years,,11,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, dead on arrival",45-64 years,,37,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, dead on arrival",65-74 years,,17,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, dead on arrival",75-84 years,,21,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, inpatient",0-14 years,,180,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, inpatient",15-44 years,28,482,33,14
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, inpatient",45-64 years,239,2248,305,123
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, inpatient",65-74 years,305,2428,385,143
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, inpatient",75-84 years,367,2643,478,172
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, inpatient",85 years and over,311,2107,407,130
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, outpatient or emergency room",0-14 years,,64,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, outpatient or emergency room",15-44 years,,271,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, outpatient or emergency room",45-64 years,16,525,21,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, outpatient or emergency room",65-74 years,17,325,18,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, outpatient or emergency room",75-84 years,11,340,18,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,"Healthcare setting, outpatient or emergency room",85 years and over,13,238,19,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Nursing home/longterm care facility,15-44 years,,28,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Nursing home/longterm care facility,45-64 years,15,353,19,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Nursing home/longterm care facility,65-74 years,63,793,23,10
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Nursing home/longterm care facility,75-84 years,155,1794,60,15
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Nursing home/longterm care facility,85 years and over,360,3825,131,36
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Other,0-14 years,,17,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Other,15-44 years,,670,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Other,45-64 years,,710,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Other,65-74 years,,290,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Other,75-84 years,,373,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Other,85 years and over,13,461,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Place of death unknown,15-44 years,,48,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Place of death unknown,45-64 years,,111,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Place of death unknown,65-74 years,,80,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Place of death unknown,75-84 years,,130,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Place of death unknown,85 years and over,,141,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Decedent's home,0-14 years,,28,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Decedent's home,15-44 years,,625,,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Decedent's home,45-64 years,28,2498,32,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Decedent's home,65-74 years,14,2739,28,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Decedent's home,75-84 years,25,3332,38,
07/23/2020,02/01/2020,07/18/2020,3,Virginia,Decedent's home,85 years and over,22,3455,73,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Hospice facility,15-44 years,,32,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Hospice facility,45-64 years,,269,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Hospice facility,65-74 years,,392,20,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Hospice facility,75-84 years,,440,30,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Hospice facility,85 years and over,17,498,27,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, dead on arrival",45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, inpatient",0-14 years,,148,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, inpatient",15-44 years,18,413,35,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, inpatient",45-64 years,128,1657,286,77
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, inpatient",65-74 years,175,1858,356,107
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, inpatient",75-84 years,210,1923,356,130
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, inpatient",85 years and over,215,1725,356,138
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, outpatient or emergency room",0-14 years,,12,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, outpatient or emergency room",15-44 years,,86,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, outpatient or emergency room",45-64 years,,201,11,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, outpatient or emergency room",65-74 years,,166,12,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, outpatient or emergency room",75-84 years,,144,12,
07/23/2020,02/01/2020,07/18/2020,10,Washington,"Healthcare setting, outpatient or emergency room",85 years and over,,128,13,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Nursing home/longterm care facility,15-44 years,,18,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Nursing home/longterm care facility,45-64 years,11,211,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Nursing home/longterm care facility,65-74 years,42,589,35,15
07/23/2020,02/01/2020,07/18/2020,10,Washington,Nursing home/longterm care facility,75-84 years,91,1301,90,42
07/23/2020,02/01/2020,07/18/2020,10,Washington,Nursing home/longterm care facility,85 years and over,177,2738,177,69
07/23/2020,02/01/2020,07/18/2020,10,Washington,Other,0-14 years,,10,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Other,15-44 years,,345,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Other,45-64 years,,318,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Other,65-74 years,,170,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Other,75-84 years,,193,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Other,85 years and over,11,422,15,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Place of death unknown,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Place of death unknown,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Place of death unknown,45-64 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Place of death unknown,65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Place of death unknown,75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Place of death unknown,85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Decedent's home,0-14 years,,52,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Decedent's home,15-44 years,,736,,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Decedent's home,45-64 years,20,2171,26,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Decedent's home,65-74 years,14,2367,43,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Decedent's home,75-84 years,17,2573,66,
07/23/2020,02/01/2020,07/18/2020,10,Washington,Decedent's home,85 years and over,35,3007,90,12
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Hospice facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Hospice facility,15-44 years,,12,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Hospice facility,45-64 years,,139,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Hospice facility,65-74 years,,219,19,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Hospice facility,75-84 years,,297,16,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Hospice facility,85 years and over,,272,24,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, dead on arrival",0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, dead on arrival",15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, dead on arrival",45-64 years,,10,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, dead on arrival",65-74 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, dead on arrival",75-84 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, dead on arrival",85 years and over,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, inpatient",0-14 years,,28,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, inpatient",15-44 years,,138,14,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, inpatient",45-64 years,,585,105,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, inpatient",65-74 years,22,628,107,10
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, inpatient",75-84 years,22,639,125,12
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, inpatient",85 years and over,24,429,87,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, outpatient or emergency room",0-14 years,,12,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, outpatient or emergency room",15-44 years,,106,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, outpatient or emergency room",45-64 years,,197,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, outpatient or emergency room",65-74 years,,147,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, outpatient or emergency room",75-84 years,,105,,
07/23/2020,02/01/2020,07/18/2020,5,Wisconsin,Nursing home/longterm care facility,45-64 years,,191,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,"Healthcare setting, outpatient or emergency room",85 years and over,,63,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Nursing home/longterm care facility,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Nursing home/longterm care facility,15-44 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Nursing home/longterm care facility,45-64 years,,79,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Nursing home/longterm care facility,65-74 years,,176,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Nursing home/longterm care facility,75-84 years,,377,18,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Nursing home/longterm care facility,85 years and over,14,654,29,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Other,0-14 years,,,,
07/23/2020,02/01/2020,07/18/2020,3,West Virginia,Other,15-44 years,,133,,
